,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2018-10-17,@,CHO,W,113,112,42,85,0.494,14,34,0.412,15,20,0.750,11,57,26,5,4,21,25,,41,92,0.446,16,38,0.421,14,22,0.636,9,41,21,8,9,11,19
2,2,2018-10-19,,IND,W,118,101,44,93,0.473,17,46,0.370,13,21,0.619,11,50,27,9,8,17,26,,38,87,0.437,6,18,0.333,19,27,0.704,9,41,14,7,3,17,25
3,3,2018-10-22,,NYK,W,124,113,45,96,0.469,17,40,0.425,17,24,0.708,19,55,27,5,9,14,18,,45,99,0.455,10,29,0.345,13,15,0.867,11,43,22,6,2,11,21
4,4,2018-10-24,,PHI,W,123,108,41,100,0.410,13,43,0.302,28,30,0.933,9,51,24,7,10,11,27,,38,92,0.413,11,34,0.324,21,30,0.700,8,50,29,4,5,16,27
5,5,2018-10-26,@,MIN,W,125,95,49,92,0.533,19,46,0.413,8,11,0.727,7,62,32,4,8,17,23,,36,112,0.321,10,43,0.233,13,18,0.722,17,49,19,10,6,7,15
6,6,2018-10-27,,ORL,W,113,91,41,82,0.500,10,30,0.333,21,23,0.913,6,57,24,6,7,21,19,,33,101,0.327,10,43,0.233,15,17,0.882,11,41,21,9,6,11,22
7,7,2018-10-29,,TOR,W,124,109,45,92,0.489,19,45,0.422,15,19,0.789,8,57,28,5,4,17,21,,39,103,0.379,9,45,0.200,22,28,0.786,15,51,25,9,7,10,19
8,8,2018-11-01,@,BOS,L,113,117,41,85,0.482,9,29,0.310,22,30,0.733,8,45,20,8,3,14,20,,41,92,0.446,24,55,0.436,11,13,0.846,8,42,30,5,8,12,23
9,9,2018-11-04,,SAC,W,144,109,46,95,0.484,22,56,0.393,30,33,0.909,10,56,30,6,7,12,20,,42,95,0.442,14,36,0.389,11,22,0.500,8,44,24,6,4,15,26
10,10,2018-11-06,@,POR,L,103,118,40,92,0.435,16,42,0.381,7,8,0.875,12,42,26,2,1,11,16,,48,91,0.527,17,43,0.395,5,8,0.625,11,51,23,7,3,12,17
11,11,2018-11-08,@,GSW,W,134,111,52,101,0.515,9,35,0.257,21,27,0.778,13,46,33,11,7,12,23,,42,87,0.483,10,28,0.357,17,22,0.773,8,38,31,5,6,18,22
12,12,2018-11-10,@,LAC,L,126,128,47,105,0.448,16,46,0.348,16,23,0.696,15,52,31,11,8,17,26,,46,99,0.465,14,34,0.412,22,27,0.815,10,54,26,6,6,17,19
13,13,2018-11-11,@,DEN,W,121,114,48,84,0.571,17,34,0.500,8,13,0.615,5,41,27,10,7,12,17,,41,89,0.461,18,38,0.474,14,20,0.700,10,39,27,8,5,10,16
14,14,2018-11-14,,MEM,L,113,116,41,81,0.506,9,35,0.257,22,27,0.815,9,44,22,5,8,16,22,,42,83,0.506,14,36,0.389,18,24,0.750,4,34,24,8,4,12,20
15,15,2018-11-16,,CHI,W,123,104,47,93,0.505,18,43,0.419,11,17,0.647,11,55,28,8,8,16,14,,41,94,0.436,13,33,0.394,9,13,0.692,4,36,22,8,3,12,15
16,16,2018-11-19,,DEN,W,104,98,40,88,0.455,11,36,0.306,13,22,0.591,13,51,21,8,3,15,16,,40,94,0.426,12,41,0.293,6,9,0.667,13,43,30,6,4,17,20
17,17,2018-11-21,,POR,W,143,100,57,108,0.528,15,45,0.333,14,17,0.824,13,59,34,8,2,14,23,,34,93,0.366,9,41,0.220,23,28,0.821,10,40,13,8,6,17,20
18,18,2018-11-23,,PHO,L,114,116,42,87,0.483,10,44,0.227,20,30,0.667,7,43,30,6,7,14,17,,45,90,0.500,9,26,0.346,17,22,0.773,6,40,21,8,4,11,25
19,19,2018-11-24,,SAS,W,135,129,49,86,0.570,15,40,0.375,22,29,0.759,6,41,30,7,3,13,22,,49,92,0.533,10,21,0.476,21,28,0.750,9,39,27,8,3,10,21
20,20,2018-11-26,@,CHO,L,107,110,37,90,0.411,16,46,0.348,17,21,0.810,10,48,25,7,5,14,22,,38,81,0.469,13,29,0.448,21,30,0.700,5,44,21,9,5,11,22
21,21,2018-11-28,,CHI,W,116,113,43,87,0.494,12,35,0.343,18,24,0.750,8,48,29,6,8,12,23,,40,89,0.449,11,37,0.297,22,29,0.759,9,45,28,9,3,11,23
22,22,2018-12-01,@,NYK,L,134,136,46,94,0.489,18,42,0.429,24,31,0.774,10,51,28,11,4,16,25,,51,96,0.531,20,34,0.588,14,21,0.667,6,41,30,5,2,16,23
23,23,2018-12-05,,DET,W,115,92,38,82,0.463,14,41,0.341,25,30,0.833,4,46,25,13,4,15,21,,35,95,0.368,9,38,0.237,13,19,0.684,12,51,19,6,1,20,26
24,24,2018-12-07,,GSW,L,95,105,36,92,0.391,7,39,0.179,16,23,0.696,15,54,18,10,3,18,21,,40,89,0.449,19,46,0.413,6,7,0.857,6,43,32,7,6,17,20
25,25,2018-12-09,@,TOR,W,104,99,36,87,0.414,15,39,0.385,17,20,0.850,9,45,22,6,7,11,13,,39,94,0.415,15,44,0.341,6,7,0.857,11,45,24,6,11,11,21
26,26,2018-12-10,,CLE,W,108,92,42,96,0.438,15,36,0.417,9,11,0.818,12,58,22,4,4,14,24,,36,96,0.375,10,30,0.333,10,15,0.667,8,46,24,5,2,9,15
27,27,2018-12-12,@,IND,L,97,113,38,91,0.418,11,43,0.256,10,15,0.667,9,43,22,6,6,12,18,,43,91,0.473,12,30,0.400,15,20,0.750,14,54,31,7,4,16,13
28,28,2018-12-14,@,CLE,W,114,102,40,94,0.426,12,41,0.293,22,28,0.786,14,53,26,9,6,9,17,,35,87,0.402,13,36,0.361,19,21,0.905,13,50,24,7,2,15,24
29,29,2018-12-17,@,DET,W,107,104,44,88,0.500,9,25,0.360,10,15,0.667,5,37,33,8,10,10,19,,39,88,0.443,14,35,0.400,12,15,0.800,10,45,25,3,2,16,20
30,30,2018-12-19,,NOP,W,123,115,43,85,0.506,13,33,0.394,24,30,0.800,9,48,26,11,3,14,18,,43,92,0.467,19,42,0.452,10,15,0.667,7,41,28,6,7,15,22
31,31,2018-12-21,@,BOS,W,120,107,41,80,0.513,16,40,0.400,22,28,0.786,11,55,26,3,6,20,30,,35,91,0.385,10,34,0.294,27,36,0.750,9,36,22,13,3,5,16
32,32,2018-12-22,@,MIA,L,87,94,31,84,0.369,9,43,0.209,16,22,0.727,6,48,20,6,9,15,19,,34,89,0.382,10,32,0.313,16,23,0.696,11,57,22,9,3,12,18
33,33,2018-12-25,@,NYK,W,109,95,40,89,0.449,6,32,0.188,23,34,0.676,6,51,22,9,8,8,19,,35,97,0.361,8,29,0.276,17,21,0.810,15,57,17,4,3,14,25
34,34,2018-12-27,,NYK,W,112,96,42,93,0.452,11,32,0.344,17,21,0.810,11,57,20,4,11,15,14,,36,97,0.371,13,31,0.419,11,16,0.688,10,43,21,8,6,10,20
35,35,2018-12-29,,BRK,W,129,115,47,96,0.490,21,51,0.412,14,16,0.875,5,39,30,6,5,10,22,,38,79,0.481,15,35,0.429,24,35,0.686,5,40,28,6,3,14,17
36,36,2019-01-01,,DET,W,121,98,47,79,0.595,10,27,0.370,17,26,0.654,5,43,28,7,6,13,19,,35,92,0.380,12,33,0.364,16,21,0.762,14,43,23,7,2,14,26
37,37,2019-01-04,,ATL,W,144,112,55,100,0.550,14,40,0.350,20,28,0.714,12,54,36,11,8,14,26,,37,85,0.435,14,41,0.341,24,35,0.686,5,31,26,11,3,21,23
38,38,2019-01-05,,TOR,L,116,123,40,81,0.494,14,37,0.378,22,27,0.815,4,38,29,9,2,14,20,,42,82,0.512,14,31,0.452,25,31,0.806,4,38,28,9,6,11,22
39,39,2019-01-07,,UTA,W,114,102,46,98,0.469,9,25,0.360,13,16,0.813,10,46,27,10,6,10,19,,36,86,0.419,14,37,0.378,16,23,0.696,11,46,20,6,6,15,21
40,40,2019-01-09,@,HOU,W,116,109,44,91,0.484,8,27,0.296,20,24,0.833,10,49,26,11,5,13,25,,32,85,0.376,18,48,0.375,27,32,0.844,14,46,19,4,7,18,18
41,41,2019-01-11,@,WAS,L,106,113,40,89,0.449,13,40,0.325,13,17,0.765,10,43,26,8,6,15,17,,40,82,0.488,18,33,0.545,15,20,0.750,6,43,28,10,3,16,17
42,42,2019-01-13,@,ATL,W,133,114,49,92,0.533,11,30,0.367,24,33,0.727,8,39,28,13,4,14,25,,39,96,0.406,12,38,0.316,24,30,0.800,18,54,19,3,5,24,30
43,43,2019-01-15,,MIA,W,124,86,48,96,0.500,17,39,0.436,11,18,0.611,7,53,35,8,6,7,12,,36,86,0.419,8,34,0.235,6,8,0.750,4,43,27,2,6,17,14
44,44,2019-01-16,@,MEM,W,111,101,40,84,0.476,12,34,0.353,19,22,0.864,5,50,27,9,8,15,25,,37,95,0.389,10,31,0.323,17,25,0.680,13,48,29,11,9,14,15
45,45,2019-01-19,@,ORL,W,118,108,47,85,0.553,12,30,0.400,12,15,0.800,4,46,22,7,7,13,14,,44,93,0.473,14,32,0.438,6,9,0.667,5,32,31,5,3,8,15
46,46,2019-01-21,,DAL,W,116,106,42,91,0.462,12,32,0.375,20,22,0.909,8,51,21,9,7,14,19,,41,99,0.414,14,40,0.350,10,17,0.588,11,48,24,7,11,11,19
47,47,2019-01-25,,CHO,W,108,99,41,89,0.461,6,31,0.194,20,23,0.870,6,46,17,9,6,11,18,,36,90,0.400,10,39,0.256,17,25,0.680,12,53,20,4,2,17,19
48,48,2019-01-27,@,OKC,L,112,118,39,91,0.429,15,37,0.405,19,28,0.679,9,49,22,6,5,14,22,,44,94,0.468,16,32,0.500,14,25,0.560,11,52,29,5,10,11,21
49,49,2019-01-29,@,DET,W,115,105,47,87,0.540,13,32,0.406,8,10,0.800,6,39,32,9,6,10,15,,42,89,0.472,12,37,0.324,9,12,0.750,10,39,29,8,3,11,14
50,50,2019-01-31,@,TOR,W,105,92,39,79,0.494,14,38,0.368,13,17,0.765,7,50,21,13,6,18,16,,37,93,0.398,7,27,0.259,11,13,0.846,8,39,16,9,4,16,20
51,51,2019-02-02,@,WAS,W,131,115,45,91,0.495,17,39,0.436,24,24,1.000,6,46,30,10,4,11,19,,43,93,0.462,10,33,0.303,19,26,0.731,12,46,28,6,6,12,19
52,52,2019-02-04,@,BRK,W,113,94,43,101,0.426,10,39,0.256,17,25,0.680,15,59,29,9,7,9,20,,33,102,0.324,5,42,0.119,23,28,0.821,16,56,23,5,9,13,21
53,53,2019-02-06,,WAS,W,148,129,56,93,0.602,19,30,0.633,17,26,0.654,8,34,33,15,3,14,20,,48,92,0.522,17,37,0.459,16,19,0.842,8,40,34,6,5,24,23
54,54,2019-02-08,@,DAL,W,122,107,51,93,0.548,10,36,0.278,10,12,0.833,10,51,25,4,5,12,21,,36,87,0.414,22,53,0.415,13,20,0.650,9,37,23,6,5,14,15
55,55,2019-02-09,,ORL,L,83,103,31,95,0.326,6,35,0.171,15,18,0.833,12,51,18,5,8,10,16,,44,94,0.468,10,27,0.370,5,6,0.833,9,57,28,5,8,12,20
56,56,2019-02-11,@,CHI,W,112,99,38,80,0.475,12,38,0.316,24,29,0.828,5,49,24,6,7,17,18,,37,96,0.385,9,28,0.321,16,18,0.889,9,45,24,8,2,13,22
57,57,2019-02-13,@,IND,W,106,97,38,86,0.442,9,31,0.290,21,29,0.724,10,52,22,7,3,10,14,,37,88,0.420,10,27,0.370,13,15,0.867,4,43,22,6,4,11,23
58,58,2019-02-21,,BOS,W,98,97,37,88,0.420,14,39,0.359,10,14,0.714,9,55,21,5,4,15,11,,39,102,0.382,14,40,0.350,5,6,0.833,12,50,19,11,9,7,15
59,59,2019-02-23,,MIN,W,140,128,50,95,0.526,19,43,0.442,21,22,0.955,10,49,28,6,8,11,17,,50,102,0.490,12,26,0.462,16,20,0.800,12,41,29,7,2,10,16
60,60,2019-02-25,@,CHI,W,117,106,42,91,0.462,17,49,0.347,16,23,0.696,8,45,26,3,6,8,22,,41,92,0.446,9,26,0.346,15,22,0.682,6,41,31,3,3,7,18
61,61,2019-02-27,@,SAC,W,141,140,54,112,0.482,17,45,0.378,16,21,0.762,11,57,36,3,14,11,18,,53,118,0.449,12,33,0.364,22,30,0.733,15,58,30,6,6,8,19
62,62,2019-03-01,@,LAL,W,131,120,48,93,0.516,14,40,0.350,21,24,0.875,11,51,30,4,6,11,15,,46,96,0.479,13,40,0.325,15,18,0.833,8,40,29,4,4,9,21
63,63,2019-03-02,@,UTA,L,111,115,37,96,0.385,15,39,0.385,22,30,0.733,17,53,20,6,10,15,22,,44,96,0.458,12,29,0.414,15,26,0.577,16,53,22,13,7,13,23
64,64,2019-03-04,@,PHO,L,105,114,35,95,0.368,12,42,0.286,23,31,0.742,18,57,17,8,2,14,25,,41,91,0.451,7,22,0.318,25,31,0.806,17,56,22,10,10,13,23
65,65,2019-03-07,,IND,W,117,98,43,86,0.500,14,35,0.400,17,21,0.810,8,52,21,7,10,13,19,,35,90,0.389,14,37,0.378,14,20,0.700,6,40,26,10,7,10,16
66,66,2019-03-09,,CHO,W,131,114,44,90,0.489,17,44,0.386,26,30,0.867,14,55,27,9,2,12,17,,44,93,0.473,15,39,0.385,11,14,0.786,6,35,25,4,2,12,24
67,67,2019-03-10,@,SAS,L,114,121,41,87,0.471,14,36,0.389,18,25,0.720,6,45,22,3,2,10,17,,49,100,0.490,12,29,0.414,11,15,0.733,8,46,24,6,3,4,18
68,68,2019-03-12,@,NOP,W,130,113,48,97,0.495,10,36,0.278,24,28,0.857,5,52,27,5,4,13,20,,46,107,0.430,10,47,0.213,11,16,0.688,13,50,27,3,4,15,23
69,69,2019-03-15,@,MIA,W,113,98,42,88,0.477,12,33,0.364,17,24,0.708,8,52,29,8,9,15,21,,38,93,0.409,8,22,0.364,14,25,0.560,10,45,21,7,5,12,18
70,70,2019-03-17,,PHI,L,125,130,43,95,0.453,16,50,0.320,23,28,0.821,10,45,25,9,6,10,22,,47,100,0.470,15,32,0.469,21,30,0.700,15,54,26,8,2,13,23
71,71,2019-03-19,,LAL,W,115,101,41,89,0.461,15,47,0.319,18,27,0.667,12,54,25,9,4,17,19,,33,86,0.384,16,43,0.372,19,23,0.826,8,42,20,9,5,19,18
72,72,2019-03-20,@,CLE,L,102,107,36,91,0.396,13,32,0.406,17,21,0.810,11,51,24,9,7,9,16,,39,93,0.419,11,39,0.282,18,24,0.750,13,54,18,4,6,11,17
73,73,2019-03-22,,MIA,W,116,87,43,85,0.506,17,34,0.500,13,20,0.650,9,52,33,5,5,14,23,,32,85,0.376,11,37,0.297,12,23,0.522,10,40,20,7,6,9,18
74,74,2019-03-24,,CLE,W,127,105,48,87,0.552,15,41,0.366,16,21,0.762,4,45,26,8,7,9,13,,41,96,0.427,11,41,0.268,12,17,0.706,12,45,23,6,1,12,21
75,75,2019-03-26,,HOU,W,108,94,42,94,0.447,14,34,0.412,10,13,0.769,10,60,24,10,6,15,11,,36,99,0.364,16,52,0.308,6,7,0.857,8,46,17,7,5,13,15
76,76,2019-03-28,,LAC,W,128,118,45,86,0.523,16,37,0.432,22,27,0.815,3,47,25,5,5,8,21,,42,92,0.457,17,33,0.515,17,22,0.773,8,46,26,7,3,11,21
77,77,2019-03-31,@,ATL,L,135,136,48,116,0.414,17,55,0.309,22,23,0.957,22,71,30,6,3,16,20,,52,118,0.441,22,61,0.361,10,17,0.588,15,58,36,10,10,9,13
78,78,2019-04-01,@,BRK,W,131,121,47,94,0.500,11,34,0.324,26,30,0.867,6,40,28,15,7,14,26,,39,94,0.415,16,44,0.364,27,34,0.794,16,55,19,6,5,23,26
79,79,2019-04-04,@,PHI,W,128,122,42,93,0.452,12,34,0.353,32,43,0.744,8,50,26,5,6,10,18,,45,95,0.474,18,36,0.500,14,18,0.778,4,43,36,4,8,13,26
80,80,2019-04-06,,BRK,L,128,133,49,88,0.557,16,34,0.471,14,21,0.667,6,43,28,7,4,14,18,,48,97,0.495,19,45,0.422,18,23,0.783,12,43,25,7,0,10,19
81,81,2019-04-07,,ATL,W,115,107,40,91,0.440,9,41,0.220,26,34,0.765,11,61,19,8,10,14,23,,40,100,0.400,17,45,0.378,10,19,0.526,9,48,25,2,3,11,28
